Altium Designer Pick and Place Locations
F:\02_PCB_Project\03_Fly-Balance\Fly-Balance_master\Project Outputs for Fly-Balance\Pick Place for Fly-Balance.csv

========================================================================================================================
File Design Information:

Date:       05/01/23
Time:       22:33
Revision:   bf427f389ae08566e7e4942b5e4054c4413f29aa
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"J6","BAL_MOT","BottomLayer","CONN-SMD_6P-P2.00_DEALON_PH-6PWB","5.5250","20.0000","90","Connector"
"J9","BAL_MOT","BottomLayer","CONN-SMD_6P-P2.00_DEALON_PH-6PWB","34.6000","20.0000","270","Connector"
"U9","MPU6500","TopLayer","QFN-24_L3.0-W3.0-P0.40-BL-EP","10.4680","30.0438","270","三轴加速度计和三轴陀螺仪"
"U7","L9110S","BottomLayer","SOP-8_L4.9-W3.9-P1.27-LS6.0-BL","26.0000","20.0000","180","H桥电机驱动芯片"
"U5","CH32F203C8T6","TopLayer","LQFP-48_7x7","13.2900","19.9490","360","STM32单片机48引脚"
"J2","Type-C","TopLayer","USB-C-SMD_TYPE-C-16P-1","4.0000","9.8000","270",""
"R23","10k","BottomLayer","0402R","1.9304","8.3820","90","电阻"
"X2","16MHz","TopLayer","OSCCC250X320X80-4N","24.7840","28.5580","270","4pin贴片无源晶振"
"X1","8MHz","TopLayer","OSCCC250X320X80-4N","4.5540","24.5240","90","4pin贴片无源晶振"
"U8","NRF24L01","TopLayer","QFN-20_L4.0-W4.0-P0.50-BL-EP","20.3056","27.9044","90","2.4G无线通信芯片"
"U6","L9110S","BottomLayer","SOP-8_L4.9-W3.9-P1.27-LS6.0-BL","14.0000","20.0000","360","H桥电机驱动芯片"
"U4","CH340E","TopLayer","MSOP-10_L3.0-W3.0-P0.50-LS5.0-BL","4.8006","17.8054","360","USB-TTL芯片"
"U3","TP4056","TopLayer","ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP","18.1610","7.7470","360","单节锂电池充电芯片"
"U2","XC6204B332MR","TopLayer","SOT-23-5","30.3022","16.5608","270","LDO, 3.0V输出"
