Altium Designer Pick and Place Locations
F:\02_PCB_Project\03_Fly-Balance\Fly-Balance Rev.D\Project Outputs for Fly-Balance Rev.D\Pick Place for Fly-Balance.csv

========================================================================================================================
File Design Information:

Date:       17/10/22
Time:       22:42
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"U5","CH32F203C8T6","TopLayer","LQFP-48_7x7","10.8000","27.4000","360","STM32单片机48引脚"
"R23","10k","BottomLayer","0402R","10.6100","13.0500","90","电阻"
"C18","104","BottomLayer","0402C","10.6400","20.0200","270","电容"
"U7","L9110S","BottomLayer","SOP-8_L4.9-W3.9-P1.27-LS6.0-BL","25.2000","20.0000","180","H桥电机驱动芯片"
"C22","104","BottomLayer","0402C","29.3500","20.0200","90","电容"
"X2","16MHz","TopLayer","OSCCC250X320X80-4N","24.1000","22.0000","180","4pin贴片无源晶振"
"X1","8MHz","TopLayer","OSCCC250X320X80-4N","3.1000","30.8000","90","4pin贴片无源晶振"
"U9","MPU6500","TopLayer","QFN-24_L3.0-W3.0-P0.40-BL-EP","16.3100","36.2750","90","三轴加速度计和三轴陀螺仪"
"U8","NRF24L01","TopLayer","QFN-20_L4.0-W4.0-P0.50-BL-EP","23.2000","27.7000","360","2.4G无线通信芯片"
"U6","L9110S","BottomLayer","SOP-8_L4.9-W3.9-P1.27-LS6.0-BL","14.8000","20.0000","360","H桥电机驱动芯片"
"U4","CH340E","TopLayer","MSOP-10_L3.0-W3.0-P0.50-LS5.0-BL","5.0800","17.2700","270","USB-TTL芯片"
"U3","TP4056","TopLayer","ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP","17.7917","9.4950","360","单节锂电池充电芯片"
"U2","XC6204B332MR","TopLayer","SOT-23-5","18.6900","15.5770","180","LDO, 3.0V输出"
"U1","ME2159BM6G","TopLayer","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR","29.6000","16.0000","360","DC-DC升压芯片"
"SW1","MSK12C02","TopLayer","MSK12C02","37.4000","20.3999","90",""
"R27","1M","TopLayer","0402R","24.2000","24.6000","360","电阻"
"R26","0","TopLayer","0402R","38.4000","33.5500","90","电阻"
"R25","22k","TopLayer","0402R","25.4000","31.6000","270","电阻"
"R24","10k","BottomLayer","0402R","26.0600","9.9500","90","电阻"
"R22","22","BottomLayer","0402R","24.8900","9.9500","90","电阻"
"R21","22","BottomLayer","0402R","9.4000","13.0400","90","电阻"
"R20","10k","BottomLayer","0402R","25.8300","27.3400","270","电阻"
"R19","10k","BottomLayer","0402R","10.5500","26.9800","270","电阻"
"R18","22","BottomLayer","0402R","26.9800","27.3500","270","电阻"
"R17","22","BottomLayer","0402R","9.4100","26.9800","270","电阻"
"R16","200","TopLayer","0402R","32.6000","2.3000","270","电阻"
"R15","200","TopLayer","0402R","7.4000","2.3000","270","电阻"
"R14","200","TopLayer","0402R","32.6000","37.7000","90","电阻"
"R13","200","TopLayer","0402R","7.4000","37.7000","90","电阻"
